battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Hardin#11164,2664,355,120,0,0,0,1,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,40,0,0,0,0.09,0
xOpium#1233,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0
lowkey#21494,3003,18050,0,0,0.11,50,15,0,30,0,20,1,2,0,2,0,0,4,1,1,2,1,0,8,28,0,0,0,0.5,18,0,11,0,1320,105,0,4,0.41,0.7
ImmolatioN#1195,3715,345531,60104,4,0.2,639,261,0,708,0,477,12,26,0,14,0,281121,61,22,18,21,5,2,231,1029,0,0,275,0.54,536,0,140,0,18000,3000,11,31,0.43,0.54
GoingFishing#1917,4115,1772,227,0,0.15,2,2,0,5,0,4,0,0,0,0,0,1544,0,0,0,0,0,0,2,5,0,0,6,0.54,2,0,2,0,120,48,0,0,0.52,0
west#11947,4124,29782,4927,0,0.16,51,25,0,65,0,43,0,2,0,2,0,24106,6,2,2,2,1,0,9,47,0,0,24,0.58,44,0,19,0,1800,418,2,2,0.38,0.83
BAKON#21581,2024,127,114,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,46,0,0,0,0.14,0
Kenzie#1732,3097,24119,5388,0,0.1,28,43,0,45,0,26,2,3,0,1,0,18545,6,3,1,2,1,0,13,93,0,0,12,0.45,15,0,6,0,2100,18,0,2,0.33,0.25
goldencurl#2183,2695,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,38,0,0,0,1.0,0
Frysming#21433,2471,1043,435,0,0.2,1,2,0,1,0,1,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0.87,1,0,1,0,60,0,0,0,0.26,0.65
Shiki#11571,1701,1598,0,0,0,0,8,0,4,0,2,1,1,0,0,0,1598,1,0,0,0,0,0,0,11,0,0,0,0.43,0,0,0,0,240,0,0,0,0.22,0
CR0CR0GAT0R#1233,2459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
Devilers#21697,2861,4133,2446,0,0.12,2,0,0,9,0,5,0,0,0,0,0,1687,1,0,0,1,0,0,0,0,0,0,2,0.65,2,0,3,0,180,0,0,3,0.44,1.0
