battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,enemies_emp'd,enemies_hacked,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Helax#2471,2172,3207,409,0,0,0,7,0,7,6,9,0,3,0,0,0,0,0,2750,0,0,0,0,1,0,2,21,2,1,0,1,0,300,37,0,0.4,0
Styman#11541,2376,488,80,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,408,0,0,0,0,0,0,1,4,1,0,0,0,0,35,0,0,0.54,0
Biston#21504,3539,125477,17331,8,0,0,99,0,355,237,323,0,128,5,15,1,9,0,95024,45,15,12,17,9,2,139,818,148,0,0,22,0,7200,2111,15,0.35,0.67
cjflanners#1391,1770,2943,467,0,0,0,9,0,14,7,24,0,5,1,1,0,1,0,2476,2,2,0,0,0,0,6,51,12,0,0,0,0,660,0,0,0.23,0.43
Burrrc#1177,3401,3690,457,0,0,0,5,0,11,7,9,0,2,0,1,0,1,0,2058,1,1,0,0,0,0,5,43,5,0,0,1,0,300,18,0,0.4,0.9
MyUsername#1807,2067,4094,328,1,0,0,4,0,4,8,17,0,2,0,1,0,1,0,3601,3,2,1,0,0,0,2,140,2,1,0,1,0,540,27,0,0.27,1.0
FishMatt#11639,2361,12109,0,0,0,0,17,0,46,8,22,0,15,0,1,0,1,0,0,4,2,0,1,1,0,26,85,7,0,0,1,0,1020,35,0,0.33,1.0
Konker#11743,2011,399,256,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,143,1,0,0,0,0,0,0,3,0,0,0,0,0,53,0,0,0.33,1.0
Chan#11706,2807,16812,1754,0,0,0,20,0,32,30,44,0,13,1,2,0,0,0,11079,3,1,0,2,1,0,13,111,16,1,0,2,0,1440,78,0,0.39,0.38
Ashoman#1374,3014,5601,967,0,0,0,10,0,7,6,14,0,1,1,1,0,0,0,2958,3,1,1,1,0,0,5,65,2,0,0,0,2,600,0,3,0.33,0.41
Rejnolds#21801,3531,3556,311,0,0,0,7,0,10,10,22,0,4,1,1,0,0,0,3246,4,2,2,0,0,0,5,41,4,0,0,1,0,480,76,0,0.34,0
QinYC#1761,2249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,240,0,0,0,1.0
Gonderon#2476,2100,159,60,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.22,0
DAWN#12484,4022,10040,1711,0,0,0,9,0,26,27,40,0,14,1,1,0,0,0,7483,3,2,1,0,0,0,8,81,13,0,0,3,0,840,47,0,0.36,0
Josh#22150,4087,2651,190,0,0,0,4,0,1,3,4,0,1,0,0,0,0,0,1653,1,0,0,0,0,0,0,10,1,0,0,0,0,180,0,0,0.36,0
Mahai#11875,3004,3490,216,0,0,0,9,0,7,13,23,0,3,1,1,0,0,0,3274,2,1,1,0,0,0,2,29,3,0,0,1,0,480,0,0,0.37,0.07
VOORG#11839,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
AciK#2306,2981,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.3,0
SupasitP#1322,2717,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0.43,1.0
Spade#1554,2402,2867,149,0,0,0,5,0,10,6,11,0,4,1,1,0,0,0,2662,2,1,0,1,1,0,3,13,4,1,0,0,0,360,26,0,0.35,0.21
Marty#2536,3689,21051,2867,0,0,0,20,0,52,36,77,0,29,2,2,0,0,0,16077,5,3,1,2,2,0,18,76,23,0,0,9,0,1860,445,0,0.34,0.16
haylanz#1790,1935,645,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,0,644,0,0,0,0,0,0,1,18,0,0,0,0,0,60,0,0,0.48,1.0
Groovy#11875,3789,138279,16834,8,0,0,151,0,364,349,462,0,134,7,18,1,9,0,101290,52,22,16,14,8,1,149,1134,182,0,0,30,0,10800,2142,20,0.31,0.56
TheWalnut#2974,1859,84,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.45,0
TheTyrent#1912,3000,1481,732,0,0,0,1,0,5,0,4,0,1,0,0,0,0,0,749,2,0,1,0,0,0,3,38,3,0,0,0,0,240,39,0,0.41,0.89
Jordan#23223,3124,3552,0,1,0,0,7,0,13,1,9,0,5,1,1,0,0,0,0,3,1,1,2,1,0,10,52,5,0,0,0,0,660,120,5,0.3,0.06
Fever#11366,3288,10083,1225,0,0,0,5,0,13,16,29,0,1,0,0,0,0,0,5557,1,0,0,0,0,0,4,31,7,0,0,0,0,480,62,0,0.36,0
Derriktor#2196,2443,2144,322,0,0,0,1,0,8,1,5,0,2,0,0,0,0,0,1822,1,0,1,0,1,0,5,36,4,1,0,1,0,120,23,0,0.42,1.0
Natrix#21837,2440,2011,209,0,0,0,3,0,12,2,11,0,5,1,1,0,0,0,1802,2,1,1,1,0,0,3,35,5,0,0,0,0,360,0,0,0.23,0.0
Sombra#22282,3455,112315,13775,3,0,0,87,0,272,197,369,0,104,5,13,0,7,0,82936,16,8,1,7,8,2,97,655,164,0,0,17,0,7200,1331,22,0.38,0.58
Volzstar#2606,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FerV#1735,3206,1089,216,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,873,0,0,0,0,0,0,1,0,0,0,0,0,0,120,0,0,0.41,0
lTripleXl#1991,1405,192,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.17,1.0
Darkrelayz#1750,3528,3201,912,0,0,0,5,0,10,2,7,0,3,0,0,0,0,0,2193,1,0,0,1,2,0,2,5,3,0,0,0,0,300,0,0,0.3,0
Stebbi#2829,2068,8439,923,0,0,0,7,0,23,12,23,0,10,1,1,0,0,0,5677,2,1,0,0,0,0,11,85,9,0,0,3,0,660,80,0,0.32,0
Ruuie#1926,2281,14652,0,0,0,0,40,0,43,36,75,0,5,2,4,0,2,0,0,5,2,1,2,0,0,17,201,30,0,0,0,0,2400,111,1,0.3,0.42
erudit0#2679,2965,91465,18920,0,0,0,114,0,230,119,161,0,70,8,11,0,3,0,61500,24,12,2,10,0,1,86,617,60,1,0,9,1,7200,665,14,0.33,0.29
SilentNight#21879,2602,7670,1552,0,0,0,12,0,24,16,30,0,5,0,1,0,1,0,4094,3,2,0,1,0,0,15,78,15,1,0,0,0,660,171,0,0.28,1.0
vmouse#11374,812,237,88,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0.52,0
brandon1767#1368,2253,100628,14196,10,0,0,124,0,227,187,274,0,112,9,14,0,5,0,68500,47,19,8,20,11,2,101,713,82,0,0,35,1,7200,756,12,0.38,0.36
Boracic#1254,1676,1657,96,0,0,0,6,0,1,3,4,0,0,1,1,0,0,0,717,1,0,0,0,0,0,0,27,0,0,0,0,0,300,0,0,0.2,0.03
Forrestgimp#2485,2019,963,90,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,873,1,0,1,0,0,0,0,5,0,1,0,0,0,180,0,0,0.25,0
Memory#2555,2653,281185,3843,12,0,0,254,0,651,377,626,0,265,16,28,1,10,0,25253,67,25,17,25,2,10,263,1346,219,0,0,72,1,18000,3360,40,0.37,0.37
sunray#11216,1164,1556,0,0,0,0,3,0,3,4,4,0,2,0,0,0,0,0,1150,0,0,0,0,0,0,0,9,2,0,1,0,0,120,111,6,0.33,0
Harley#22937,2454,5517,1568,0,0,0,9,0,18,12,18,0,1,0,1,0,1,0,3575,2,1,0,1,0,0,10,57,8,0,0,0,0,600,47,1,0.33,0.69
TesshinGriz#1421,2740,1865,268,0,0,0,5,0,4,2,4,0,2,0,0,0,0,0,1306,1,0,0,0,0,0,3,16,2,0,0,0,0,240,0,3,0.35,0.25
Lui#1600,4331,19241,1268,1,0,0,12,0,41,49,64,0,21,1,2,0,1,0,14324,5,3,2,1,1,1,17,128,22,0,0,4,0,1020,567,0,0.38,0.59
hiddenPants#29511,1889,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0.53,0
Shoes#1635,2836,13427,2273,0,0,0,18,0,40,16,37,0,14,0,2,0,2,0,9516,2,1,0,0,1,0,10,75,21,0,0,2,0,1140,226,0,0.32,0.95
BarrackOsama#21690,2503,44083,7619,0,0,0,65,0,124,64,89,0,57,4,6,0,2,0,32597,15,9,3,3,7,0,42,382,38,0,0,15,0,3600,476,0,0.39,0.38
Buku#11869,2483,1407,549,0,0,0,4,0,4,0,1,0,3,0,0,0,0,0,858,1,1,1,0,1,0,2,17,0,0,0,1,0,180,24,0,0.24,0
PatrickLai#11943,1905,2106,1105,0,0,0,2,0,7,1,6,0,1,0,0,0,0,0,951,1,0,0,0,0,0,2,20,4,0,0,0,0,240,0,4,0.26,0.97
PaziHRV#2850,2580,204,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,7,0,0,0,0,0,60,11,0,0.4,0.26
Buzaslon#2353,2624,32259,8305,2,0,0,51,0,65,48,85,0,23,3,4,0,1,0,18735,7,2,0,4,4,1,29,202,41,0,0,2,0,2640,28,0,0.31,0.17
StupidSteve#11442,3043,522,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,170,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0.63,0
ionoc#1221,3047,1731,510,0,0,0,3,0,1,2,6,0,1,0,0,0,0,0,1221,1,1,0,0,0,0,1,12,0,0,0,0,0,180,0,0,0.36,0.64
Cichusek#21649,3000,4571,373,0,0,0,2,0,9,5,7,0,5,0,0,0,0,0,2604,1,1,0,0,1,0,1,7,3,0,0,3,0,300,0,0,0.35,1.0
Andlap02#2403,2745,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.25,0
hindsight#1771,2975,3512,1005,0,0,0,5,0,7,2,5,0,4,0,0,0,0,0,2507,1,0,0,0,0,0,4,53,3,0,0,0,0,360,0,0,0.39,1.0
Taniwaffle#2649,2778,959,160,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,799,0,0,0,0,0,0,0,3,0,0,0,0,0,60,0,0,0.37,0
Inox391#2547,1454,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.17,0
Crow#14933,3138,462341,51658,19,0,0,512,0,1259,943,1516,0,486,24,52,2,27,0,322274,145,76,29,40,77,12,561,4180,617,1,2,90,2,36000,5787,5,0.35,0.52
Kohtalox#2688,2536,3532,350,0,0,0,3,0,8,4,7,0,6,0,0,0,0,0,1558,1,0,0,1,0,0,3,8,5,0,0,1,0,180,43,0,0.4,0
VEGA#31905,1175,3419,378,0,0,0,9,0,8,11,17,0,2,1,1,0,0,0,3042,1,0,0,1,0,0,3,31,6,0,0,1,0,540,18,0,0.4,0
Mythoss#2423,2144,345,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,345,0,0,0,0,1,0,2,10,1,1,0,0,0,51,0,0,0.33,1.0
Baronodemons#2239,1651,18352,3749,1,0,0,29,0,43,39,71,0,16,3,4,0,1,0,12905,4,2,0,2,1,0,16,103,21,0,0,6,0,2280,138,0,0.36,0.24
Eurcynia#1786,2450,197,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,197,1,0,0,0,0,0,0,18,0,0,0,0,0,60,0,0,0.67,0
BH11#11181,3259,1370,96,0,0,0,3,0,3,2,2,0,1,0,0,0,0,0,1274,1,0,0,0,0,0,0,12,1,0,0,0,0,120,2,0,0.37,0.35
Henchoz#2788,2933,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,4,0,0,0,0,0,29,16,0,0.25,0.16
JamPants#21125,2667,10672,2272,0,0,0,13,0,13,19,24,0,4,0,1,0,0,0,4995,2,0,1,1,0,0,5,80,10,1,0,0,2,840,31,5,0.34,0.46
