battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_reflected,deaths,defensive_assists,dragonblade_kills,dragonblades,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Vio#22554,3252,10016,1134,0,0.12,18,3008,12,0,4,3,23,0,11,0,1,0,1,0,8696,3,2,1,1,1,1,4,112,0,0,0,0,1,0,720,29,2,0.23,0.57
Luin#11259,2397,444530,103585,8,0.07,540,75955,324,0,176,157,852,0,407,19,38,1,17,0,327764,119,42,32,45,27,6,383,4179,0,0,0,0,69,2,25200,2209,46,0.3,0.46
AndyWill#3707,2509,66125,7069,1,0.11,137,9692,62,0,39,29,146,0,85,4,5,1,0,0,56844,15,6,3,5,4,2,40,443,0,0,0,0,24,0,3600,781,3,0.29,0.04
GalaxyGamer#11264,2139,987852,235983,41,0.09,1457,237478,736,0,461,328,2181,0,1254,37,81,1,43,0,738049,242,72,96,73,71,29,867,7789,0,0,0,2,291,1,54000,8652,35,0.26,0.54
Frodi131#2813,2824,78994,22174,0,0.08,91,22032,82,0,25,28,163,0,65,4,7,0,3,0,55310,16,7,4,6,3,1,73,633,0,0,0,0,9,0,3600,245,11,0.3,0.41
Zgivens213#1253,2121,13261,0,1,0.03,11,2312,15,0,5,5,27,0,10,0,1,0,1,0,0,3,1,1,1,2,0,12,74,0,0,0,0,3,1,900,49,6,0.32,0.64
Pinstrio#1355,2356,299714,63830,8,0.08,409,58784,263,0,96,91,611,0,320,13,25,1,11,0,227967,73,19,31,23,19,5,241,2248,0,0,0,1,75,1,14400,2559,33,0.32,0.45
SpiderLojk#2175,2007,472500,75685,21,0.08,641,90598,401,0,231,183,1098,0,589,19,43,1,23,0,381660,133,34,53,46,60,12,480,4697,0,0,0,0,121,3,28800,5010,43,0.27,0.54
Kensier#1806,2166,68043,14970,2,0.07,81,7353,42,0,29,26,133,0,56,1,4,0,3,0,51812,13,4,4,5,8,3,59,499,0,0,0,0,10,0,3240,580,2,0.32,0.67
Barx#11466,1974,3872,617,0,0.08,6,1382,9,0,2,2,8,0,6,0,0,0,0,0,3230,0,0,0,0,0,0,4,95,0,0,0,0,1,0,360,0,0,0.24,1.0
Hycosmal#1575,1701,278206,56241,5,0.09,444,67122,293,0,125,111,624,0,313,11,27,0,16,0,216665,68,26,24,18,17,6,269,2105,0,1,0,0,113,1,18000,1883,20,0.24,0.58
yazhuo#11406,1996,18317,1061,1,0.08,31,4951,13,0,12,10,51,0,30,0,2,0,2,0,17173,7,5,0,2,3,0,33,310,0,1,0,0,5,0,1620,162,0,0.24,0.91
