battletag,SR,ability_damage_done,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,meteor_strike_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,shields_created,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
cufuji#2784,3108,13215.43,23647,1193,0,0,0,38,0,57,0,44,3,4,0,2,0,22156,9,2,3,4,4,10,0,22,163,0,0,0,4945.58,11,0,2040,83,4,0.31,0.39
Checkmate#11112,2331,55174.26,98928,12759,1,0,0,149,0,220,0,136,7,13,0,6,0,84939,25,11,4,10,6,35,2,108,985,0,1,0,22714.76,34,0,7200,197,4,0.29,0.45
Grehdeh#6796,2413,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Zudane#6326,2139,4074.34,6876,793,0,0,0,19,0,19,0,10,1,1,0,0,0,6083,4,1,1,1,0,4,0,4,18,0,0,0,1278.36,3,0,660,0,0,0.17,0
Ryan#23744,2830,10424.77,17587,1396,0,0,0,23,0,46,0,28,0,2,0,2,0,16029,4,2,0,1,0,5,0,12,120,0,0,0,4003.95,7,0,1380,14,0,0.3,0.81
MemeStealer#2233,2735,0,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
Goliathus#1159,1875,8289.47,16041,1625,0,0,0,28,0,36,1,26,1,2,0,1,0,14413,1,1,0,0,0,5,0,19,164,0,0,0,2515.24,14,0,1500,192,0,0.21,0.66
TaxiDad#1986,2564,0,286,264,0,0,0,2,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.08,0
FlyCaster#11744,3150,289.43,333,0,0,0,0,1,0,1,0,1,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,32,0,0,0.06,0
Quark#21804,3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,29,0,0,0,1.0
NaNa#12456,3056,4032.38,8450,1431,0,0,0,12,0,28,1,22,0,1,0,1,0,6986,2,1,0,0,2,2,0,10,52,0,0,0,1305,6,0,600,115,0,0.27,1.0
Xcellent#2856,3362,128.31,609,132,0,0,0,3,0,1,0,1,0,0,0,0,0,477,0,0,0,0,0,0,0,1,4,0,0,0,30,0,0,60,0,0,0.33,1.0
Zeratai#1628,2225,833.37,1526,66,0,0,0,3,0,5,0,4,0,0,0,0,0,1460,1,0,0,1,0,1,0,2,14,0,0,0,315,3,0,120,0,0,0.27,0
easymemes#1717,1894,485,1269,330,0,0,0,6,0,1,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,16,0,0,0,60,0,0,120,0,0,0.2,0
PizzaFriday#1198,2552,326.67,569,66,0,0,0,1,0,1,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,8,0,0,0,150,0,0,60,0,0,0.26,0
SheffiJ#1664,2859,0,66,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,46,0,0,0,1.0
Oscar#21448,3079,441.71,829,0,0,0,0,2,0,2,0,2,0,0,0,0,0,829,0,0,0,0,0,0,0,0,3,0,0,0,150,1,0,60,0,0,0.46,0
MerueM#11598,2399,1376.25,2933,714,0,0,0,5,0,2,0,1,0,0,0,0,0,2115,0,0,0,0,0,1,0,1,27,0,0,0,405,1,0,300,0,0,0.32,0
Hibikaze#11612,2849,319.33,914,297,0,0,0,1,0,1,0,1,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,60,0,0,0.5,0
Bonny#2866,2333,0,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.14,1.0
ClassicSenna#1321,2330,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0.04,1.0
